store_number,citipy_city,reverse_geocoder_city
5213-293,Santa Monica,"Westwood, Los Angeles"
6986-72684,West Sacramento,West Sacramento
10349-98256,West Sacramento,West Sacramento
76746-106450,West Sacramento,West Sacramento
6724-74980,West Sacramento,West Sacramento
14211-113350,El Segundo,Ladera Heights
559-501,Thousand Oaks,Thousand Oaks
21573-205865,Thousand Oaks,Thousand Oaks
76797-108113,Westminster,Westminster
5309-585,Westminster,Midway City
6800-80380,Westminster,Westminster
74724-96537,Fountain Valley,Midway City
19353-183744,Westminster,Westminster
29832-255224,Fountain Valley,Midway City
6990-15917,Westminster,Midway City
6828-83041,Westminster,Westminster
5567-1752,Beverly Hills,"Westwood, Los Angeles"
79355-103604,Beverly Hills,"Westwood, Los Angeles"
5507-1460,Whittier,Whittier
76398-95640,East La Mirada,East La Mirada
9351-95997,South Whittier,South Whittier
5680-182264,South Whittier,La Mirada
9452-218446,Whittier,West Whittier-Los Nietos
26334-244304,Whittier,West Whittier-Los Nietos
74921-101340,East La Mirada,East La Mirada
8657-94407,South Whittier,South Whittier
6554-64459,Wildomar,Wildomar
73558-64899,Wildomar,Wildomar
10431-100556,Wildomar,Wildomar
79504-101843,Ukiah,Willits
3422-93760,Chico,Willows
9290-95131,Murrieta,Murrieta Hot Springs
14542-117506,Windsor,Windsor
5233-238080,Windsor,Windsor
74823-99514,Windsor,Windsor
22421-219665,Windsor,Windsor
22254-218824,Woodland,Woodland
6831-167846,Woodland,Woodland
5740-156724,Woodland,Woodland
76942-131146,Woodland,Woodland
21086-180308,Calabasas,Woodland Hills
76329-95471,Calabasas,Woodland Hills
75653-88912,Calabasas,Woodland Hills
10895-103501,Calabasas,Woodland Hills
5487-1616,Calabasas,Woodland Hills
585-305,Calabasas,Woodland Hills
5485-1517,Calabasas,Canoga Park
9384-94268,Calabasas,Woodland Hills
18869-179006,Calabasas,Calabasas
11603-104000,Calabasas,Woodland Hills
5450-1464,Yorba Linda,Yorba Linda
6488-53879,Yorba Linda,Yorba Linda
21789-208624,Ashland,Yreka
14131-108153,South Yuba City,South Yuba City
76332-95382,Yuba City,Yuba City
6586-188144,Yuba City,Yuba City
10587-100780,South Yuba City,South Yuba City
14071-108147,South Yuba City,Yuba City
9974-98559,Redlands,Mentone
79654-108478,Yucaipa,Yucaipa
6438-245084,Yucaipa,Yucaipa
6829-82142,Yucca Valley,Yucca Valley
74491-96635,Alamosa,Alamosa
10720-100167,Arvada,Arvada
8757-93212,Arvada,Arvada
74291-75247,Arvada,Arvada
5399-897,Arvada,Arvada
16635-173425,Arvada,Arvada
5293-808,Arvada,Arvada
73931-102079,Applewood,Applewood
16857-176084,Westminster,Berkley
76512-99423,Arvada,Arvada
75581-73361,Glenwood Springs,Aspen
5283-284,Parker,Dove Valley
73961-82268,Centennial,Dove Valley
24213-180506,Aurora,Aurora
74351-83241,Aurora,Aurora
79569-107097,Aurora,Aurora
14072-107931,Aurora,Aurora
10856-101379,Aurora,Aurora
10632-98426,Parker,Parker
11246-103076,Aurora,Aurora
6821-79460,Aurora,Aurora
9600-97687,Aurora,Dove Valley
19889-91824,Parker,Parker
6881-84781,Centennial,Dove Valley
19362-200884,Aurora,Dove Valley
76305-96656,Parker,Parker
5294-175247,Aurora,Aurora
6878-86840,Aurora,Aurora
72689-76604,Aurora,Aurora
10114-93216,Aurora,Aurora
21242-210247,Centennial,Dove Valley
6833-83644,Aurora,Aurora
73605-87503,Parker,Parker
74263-51682,Aurora,Dove Valley
76981-136642,Parker,Parker
10438-100760,Aurora,Aurora
72901-82206,Glenwood Springs,Minturn
5397-1286,Glenwood Springs,Avon
72122-3529,Glenwood Springs,Avon
23653-201464,Glenwood Springs,Avon
19548-183944,Glenwood Springs,El Jebel
73797-86304,Aurora,Bennett
75527-43499,Golden,Central City
28474-250153,Boulder,Boulder
76166-88402,Boulder,Boulder
74233-17734,Boulder,Boulder
21402-212484,Boulder,Boulder
74497-79747,Boulder,Boulder
10857-103228,Boulder,Boulder
240-192,Boulder,Boulder
246-193,Boulder,Boulder
73969-103416,Boulder,Boulder
73898-102078,Boulder,Boulder
29237-244389,Boulder,Boulder
5594-928,Boulder,Boulder
10588-100103,Boulder,Boulder
19888-102509,Boulder,Gunbarrel
5548-1507,Boulder,Boulder
6684-3132,Golden,Breckenridge
76710-102060,Brighton,Brighton
6407-40379,Brighton,Brighton
10149-99154,Brighton,Brighton
21691-197868,Brighton,Brighton
73956-124170,Brighton,Brighton
74329-81960,Lafayette,Lafayette
10858-103224,Superior,Broomfield
28201-249814,Superior,Superior
6187-149664,Broomfield,Broomfield
6834-82360,Broomfield,Broomfield
1542-129324,Northglenn,Northglenn
49349-233546,Erie,Erie
13425-107937,Broomfield,Broomfield
27006-108203,Canon City,Lincoln Park
23650-228164,Castle Rock,Castle Rock
13489-106901,Castle Rock,Castle Rock
79266-96990,Castle Rock,Castle Rock
74170-33019,Castle Rock,Castle Rock
20787-203505,Castle Rock,Castle Rock
21163-178024,Castle Rock,Castle Rock
8982-85012,Castle Rock,Castle Pines North
5390-286,Castle Rock,Castle Rock
16856-176085,Castle Rock,Castle Pines North
24220-230640,Parker,Dove Valley
10864-103214,Southglenn,Southglenn
6566-65340,Centennial,Dove Valley
2204-146,Southglenn,Southglenn
26130-243204,Southglenn,Southglenn
74307-78801,Parker,Dove Valley
254-196664,Castlewood,Castlewood
5573-164244,Centennial,Dove Valley
10896-103190,Clifton,Clifton
79680-99500,Colorado Springs,Colorado Springs
8830-93513,Cimarron Hills,Cimarron Hills
74157-17756,Cimarron Hills,Cimarron Hills
5802-4253,Colorado Springs,Colorado Springs
47551-256564,Cimarron Hills,Cimarron Hills
267-137,Colorado Springs,Colorado Springs
73632-87500,Cimarron Hills,Cimarron Hills
5354-898,Cimarron Hills,Cimarron Hills
13336-100888,Black Forest,Black Forest
25986-236504,Colorado Springs,Colorado Springs
6216-53,Colorado Springs,Air Force Academy
6392-3134,Colorado Springs,Colorado Springs
10897-103435,Cimarron Hills,Cimarron Hills
74490-83226,Fort Carson,Stratmoor
74397-83225,Colorado Springs,Colorado Springs
72587-103419,Colorado Springs,Colorado Springs
74310-65059,Colorado Springs,Air Force Academy
5333-285,Cimarron Hills,Cimarron Hills
29154-247767,Black Forest,Gleneagle
6872-75940,Colorado Springs,Air Force Academy
73585-79748,Black Forest,Black Forest
6832-180504,Fort Carson,Stratmoor
73962-136615,Cimarron Hills,Cimarron Hills
74199-26807,Cimarron Hills,Stratmoor
17823-180505,Cimarron Hills,Cimarron Hills
6352-20899,Black Forest,Black Forest
72896-91821,Colorado Springs,Colorado Springs
19141-197867,Black Forest,Gleneagle
47718-259426,Cimarron Hills,Cimarron Hills
5612-1977,Colorado Springs,Colorado Springs
74159-24007,Colorado Springs,Colorado Springs
19238-194244,Black Forest,Air Force Academy
6845-82020,Black Forest,Air Force Academy
72692-76605,Cimarron Hills,Cimarron Hills
11713-100730,Fort Carson,Stratmoor
73722-103424,Black Forest,Black Forest
76762-104588,Black Forest,Black Forest
297-139,Colorado Springs,Colorado Springs
16854-146048,Black Forest,Black Forest
21934-100817,Colorado Springs,Colorado Springs
6884-76063,Colorado Springs,Manitou Springs
74386-92938,Colorado Springs,Manitou Springs
17364-173406,Brighton,Brighton
13604-108690,Brighton,Brighton
13938-104015,Ken Caryl,Evergreen
79529-101065,Ken Caryl,Evergreen
79264-93868,Ken Caryl,Indian Hills
27300-241524,Golden,Frisco
20181-203487,Cortez,Cortez
22471-220904,Craig,Craig
27708-240564,Denver,Denver
75828-94910,Denver,Denver
74105-23807,Englewood,Englewood
22871-102491,Denver,Denver
11105-100844,Wheat Ridge,Edgewater
75003-33060,Denver,Denver
19695-165566,Englewood,Sheridan
74108-17656,Greenwood Village,Glendale
18946-177247,Greenwood Village,Cherry Hills Village
5440-1319,Denver,Glendale
6205-30,Denver,Denver
6618-69880,Englewood,Englewood
10862-103208,Aurora,Glendale
79292-99564,Englewood,Cherry Hills Village
15466-156825,Denver,Denver
74296-77462,Wheat Ridge,Berkley
6342-10647,Denver,Denver
10496-100761,Denver,Denver
6657-73731,Denver,Denver
11474-105326,Greenwood Village,Cherry Hills Village
74254-65021,Englewood,Glendale
8971-94801,Denver,Denver
16946-106016,Commerce City,Commerce City
253-136,Denver,Glendale
28591-249796,Denver,Glendale
6381-25487,Denver,Denver
24712-197869,Denver,Denver
2946-87321,Denver,Denver
6214-38,Englewood,Glendale
270-138,Denver,Glendale
10019-98985,Denver,Denver
5434-872,Englewood,Cherry Hills Village
10770-100758,Denver,Berkley
6822-82361,Denver,Denver
24838-238076,Denver,Denver
48194-254256,Wheat Ridge,Edgewater
10625-100287,Aurora,Aurora
27847-248910,Aurora,Aurora
75960-108269,Brighton,Lochbuie
11473-103805,Commerce City,Commerce City
75004-70380,Lakewood,Sheridan
75324-95897,Denver,Denver
73787-111045,Denver,Denver
248-135,Denver,Denver
74125-25289,Denver,Denver
8115-95975,Denver,Glendale
73566-81441,Aurora,Glendale
17562-165406,Denver,Denver
5803-15714,Denver,Denver
8916-95345,Englewood,Glendale
5392-873,Denver,Denver
5640-2442,Denver,Denver
22162-218186,Denver,Denver
74178-32999,Denver,Glendale
73165-21582,Denver,Denver
6697-73722,Denver,Denver
11034-104012,Centennial,Centennial
5285-803,Denver,Denver
8863-95109,Northglenn,Northglenn
10436-98953,Commerce City,Commerce City
6540-62379,Greenwood Village,Glendale
10861-103209,Denver,Glendale
76470-97550,Commerce City,Commerce City
29429-253366,Denver,Denver
75959-108270,Brighton,Lochbuie
6225-283,Greenwood Village,Cherry Hills Village
10673-100271,Denver,Denver
74282-65040,Denver,Denver
10351-99161,Denver,Denver
10261-100356,Englewood,Englewood
74705-96758,Denver,Glendale
75506-33861,Denver,Denver
6324-9153,Denver,Denver
12848-95170,Denver,Glendale
78024-107376,Denver,Denver
2817-86203,Commerce City,Commerce City
5425-1281,Denver,Denver
9193-151286,Greenwood Village,Cherry Hills Village
237-230005,Denver,Glendale
73824-111025,Golden,Silverthorne
5458-1287,Golden,Silverthorne
75535-33240,Golden,Idaho Springs
73347-22033,Durango,Durango
9597-97205,Durango,Durango
25970-92950,Durango,Durango
19585-197866,Durango,Durango
73888-124166,Glenwood Springs,Eagle
8758-94827,Wheat Ridge,Edgewater
29548-245835,Wheat Ridge,Edgewater
76782-108571,Wheat Ridge,Edgewater
6615-65341,Glenwood Springs,Edwards
73754-103426,Glenwood Springs,El Jebel
74247-51499,Parker,Elizabeth
17563-172724,Centennial,Meridian
74791-99277,Englewood,Englewood
22796-224831,Englewood,Englewood
18651-103417,Littleton,Sheridan
15382-192845,Englewood,Cherry Hills Village
11476-105389,Englewood,Englewood
10674-100914,Englewood,Englewood
76165-93492,Centennial,Centennial
74140-17674,Castlewood,Castlewood
13426-105051,Lafayette,Lafayette
74348-82460,Lafayette,Lafayette
6508-61959,Boulder,Estes Park
74380-91500,Boulder,Estes Park
74879-100329,Golden,Evergreen
73753-100345,Golden,Kittredge
74261-67760,Black Forest,Black Forest
74109-24367,Northglenn,Northglenn
8677-94425,Longmont,Firestone
74353-83166,Erie,Firestone
72937-94128,Erie,Firestone
19134-193664,Fort Carson,Fort Carson
15861-113264,Fort Carson,Fort Carson
6910-79462,Fort Collins,Fort Collins
74357-84402,Fort Collins,Fort Collins
296-144,Fort Collins,Fort Collins
79240-86330,Fort Collins,Fort Collins
74388-82293,Fort Collins,Fort Collins
5449-1318,Fort Collins,Fort Collins
74347-82291,Fort Collins,Fort Collins
76907-129326,Fort Collins,Fort Collins
3780-126767,Fort Collins,Fort Collins
15467-150413,Fort Collins,Fort Collins
14944-153755,Fort Collins,Fort Collins
5671-102288,Fort Collins,Fort Collins
14104-107935,Fort Collins,Fort Collins
6570-60399,Fort Collins,Fort Collins
74306-78900,Brighton,Fort Lupton
19641-124167,Fort Morgan,Fort Morgan
20001-183945,Fountain,Security-Widefield
74245-51679,Fountain,Security-Widefield
74340-83165,Boulder,Fraser
14451-119784,Erie,Dacono
5372-165565,Golden,Frisco
74335-82182,Golden,Frisco
73806-82290,Fort Collins,Fort Collins
23170-220812,Fort Collins,Fort Collins
76123-78584,Denver,Glendale
277-198,Denver,Glendale
73953-101200,Glenwood Springs,Glenwood Springs
11107-101395,Glenwood Springs,Glenwood Springs
76434-95682,Glenwood Springs,Glenwood Springs
22944-182071,Glenwood Springs,Glenwood Springs
74534-51539,Glenwood Springs,Glenwood Springs
25490-228586,Golden,Golden
22818-220809,Golden,West Pleasant View
6425-49679,Golden,Golden
10722-102751,Golden,Golden
74355-85884,Golden,Golden
8626-103726,Golden,Kittredge
70077-138824,Applewood,West Pleasant View
72926-91721,Boulder,Granby
11477-104016,Grand Junction,Grand Junction
47908-92924,Grand Junction,Grand Junction
79471-90340,Grand Junction,Grand Junction
72596-108623,Clifton,Clifton
73561-82103,Grand Junction,Grand Junction
23845-232871,Grand Junction,Grand Junction
10676-101244,Redlands,Redlands
17975-186945,Grand Junction,Orchard Mesa
19241-199290,Redlands,Redlands
76164-93491,Redlands,Redlands
73431-25047,Redlands,Redlands
74318-81440,Grand Junction,Fruitvale
70332-126768,Redlands,Redlands
74330-81880,Grand Junction,Grand Junction
76125-90343,Greeley,Greeley
19217-108206,Greeley,Greeley
74415-89100,Greeley,Greeley
6919-86208,Evans,Evans
15028-151285,Greeley,Greeley
6906-83643,Greeley,Greeley
74363-88200,Greeley,Greeley
11838-104017,Greeley,Greeley
75001-29516,Castlewood,Castlewood
6776-78625,Castlewood,Castlewood
5722-8007,Castlewood,Castlewood
75005-82269,Greenwood Village,Castlewood
252-145,Castlewood,Castlewood
249-195,Castlewood,Castlewood
17748-173944,Centennial,Centennial
73871-126744,Montrose,Gunnison
5112-147685,Highlands Ranch,Highlands Ranch
6339-180484,Highlands Ranch,Highlands Ranch
75009-86329,Castlewood,Acres Green
5325-165564,Highlands Ranch,Highlands Ranch
75002-34139,Highlands Ranch,Highlands Ranch
74141-17714,Highlands Ranch,Highlands Ranch
72853-92946,Highlands Ranch,Highlands Ranch
76124-88404,Highlands Ranch,Highlands Ranch
11995-106752,Columbine,Columbine
11109-102639,Highlands Ranch,Highlands Ranch
10317-98792,Golden,Idaho Springs
11169-104446,Loveland,Loveland
75672-94216,Golden,Keystone
10228-100277,Lafayette,Lafayette
72892-94389,Lafayette,Lafayette
74295-65079,Wheat Ridge,Wheat Ridge
5718-241748,Lakewood,Lakewood
15145-156124,Lakewood,Lakewood
6998-92280,Lakewood,Lakewood
11111-102552,Wheat Ridge,Wheat Ridge
8915-93534,Lakewood,Lakewood
75007-83227,Lakewood,Lakewood
74373-82283,Applewood,West Pleasant View
79344-96655,Lakewood,Lakewood
79619-101955,Lakewood,Lakewood
2825-209726,Applewood,West Pleasant View
72690-76606,Applewood,West Pleasant View
10863-103229,Applewood,Lakewood
79714-108618,Littleton,Littleton
5410-1089,Littleton,Littleton
9128-82271,Castlewood,Castlewood
5315-697,Centennial,Acres Green
23483-230641,Columbine,Columbine
10316-4256,Columbine,Columbine
239-191,Greenwood Village,Greenwood Village
5342-105589,Columbine,Columbine
6565-65640,Ken Caryl,Ken Caryl
20276-203488,Littleton,Littleton
16855-176087,Highlands Ranch,Highlands Ranch
6569-61701,Littleton,Columbine Valley
13490-98427,Littleton,Littleton
74139-17655,Centennial,Lone Tree
74697-96759,Ken Caryl,Roxborough Park
16916-176065,Columbine,Columbine
5804-3137,Ken Caryl,Ken Caryl
6528-3140,Ken Caryl,Ken Caryl
75006-75246,Ken Caryl,Ken Caryl
79283-82266,Highlands Ranch,Highlands Ranch
72648-48399,Ken Caryl,Ken Caryl
74479-84400,Ken Caryl,Ken Caryl
27851-193845,Centennial,Lone Tree
28594-249822,Centennial,Lone Tree
10262-99008,Centennial,Lone Tree
76472-97585,Centennial,Carriage Club
22526-215010,Centennial,Lone Tree
9693-97948,Longmont,Longmont
73844-102077,Longmont,Longmont
74238-17755,Longmont,Longmont
74110-97326,Longmont,Longmont
74132-17754,Longmont,Longmont
16853-176086,Longmont,Longmont
5306-250709,Longmont,Longmont
76651-97549,Longmont,Longmont
6638-64283,Longmont,Longmont
74110-23948,Longmont,Longmont
8663-94102,Longmont,Longmont
10677-99648,Longmont,Longmont
5587-137175,Superior,Superior
16497-170104,Louisville,Louisville
10723-101369,Loveland,Loveland
6382-27308,Loveland,Loveland
16858-129325,Loveland,Loveland
18736-94610,Loveland,Loveland
17663-175248,Loveland,Loveland
10499-103660,Loveland,Loveland
74341-82292,Loveland,Loveland
72588-103418,Montrose,Montrose
76854-111233,Montrose,Montrose
8664-94423,Montrose,Montrose
6759-76042,Black Forest,Monument
74333-83620,Black Forest,Monument
50210-271889,Northglenn,Northglenn
17733-171004,Northglenn,Northglenn
25027-92923,Durango,Pagosa Springs
74120-17634,Parker,Parker
6456-43259,Parker,Parker
73837-110987,Parker,The Pinery
76713-102463,Parker,Parker
10866-103227,Parker,Stonegate
28271-233545,Parker,Stonegate
13339-105636,Parker,Parker
73955-93848,Parker,Stonegate
75421-105054,Cimarron Hills,Cimarron Hills
24070-93498,Pueblo,Pueblo
6627-71282,Pueblo,Pueblo
11112-100727,Pueblo,Pueblo
13492-106900,Pueblo,Pueblo
2875-92974,Pueblo,Pueblo
74155-25928,Pueblo,Pueblo West
27002-108202,Glenwood Springs,Rifle
8685-94424,Glenwood Springs,Rifle
79746-124168,Canon City,Salida
76895-121624,Englewood,Sheridan
26930-246154,Golden,Silverthorne
19568-93831,Glenwood Springs,Snowmass Village
2939-244628,Steamboat Springs,Steamboat Springs
74833-99499,Steamboat Springs,Steamboat Springs
79273-93497,Steamboat Springs,Steamboat Springs
72611-22321,Superior,Superior
74480-82282,Superior,Superior
10867-99865,Superior,Superior
20645-195365,Montrose,Mountain Village
9946-98432,Erie,Erie
6945-86206,Thornton,Thornton
73874-110989,Thornton,Thornton
18537-92947,Northglenn,Northglenn
11479-100284,Northglenn,Northglenn
9599-97632,Federal Heights,Federal Heights
72647-48379,Northglenn,Northglenn
9554-97218,Northglenn,Northglenn
73172-21492,Thornton,Thornton
74407-85001,Federal Heights,Federal Heights
21637-212584,Northglenn,Northglenn
26207-240130,Windsor,Windsor
79617-113625,Trinidad,Trinidad
74366-83224,Glenwood Springs,Minturn
78016-103687,Glenwood Springs,Vail
1301-150415,Glenwood Springs,Vail
19855-92925,Glenwood Springs,Minturn
9692-98012,Broomfield,Broomfield
76717-103835,Broomfield,Broomfield
6223-627,Westminster,Westminster
13233-105953,Northglenn,Northglenn
5647-2441,Northglenn,Northglenn
10724-99651,Northglenn,Northglenn
10437-99160,Westminster,Westminster
25969-242724,Arvada,Arvada
6879-83646,Westminster,Westminster
19224-192844,Federal Heights,Federal Heights
29643-254412,Westminster,Westminster
76246-94911,Broomfield,Broomfield
5358-911,Broomfield,Broomfield
5806-15693,Federal Heights,Federal Heights
11780-106321,Broomfield,Broomfield
17740-94024,Wheat Ridge,Edgewater
72859-83228,Applewood,Applewood
6905-231206,Wheat Ridge,Wheat Ridge
74371-82287,Wheat Ridge,Wheat Ridge
13822-108298,Arvada,Arvada
251-196,Applewood,Applewood
76471-97424,Arvada,Arvada
72848-87620,Windsor,Windsor
74342-82181,Windsor,Windsor
75611-83180,Boulder,Fraser
6946-209745,Colorado Springs,Woodland Park
74343-83660,Colorado Springs,Woodland Park
76780-100176,Ansonia,Ansonia
7508-9452,West Hartford,Canton Valley
14543-118984,Danbury,Bethel
9423-96855,West Hartford,Blue Hills
7485-6527,Branford,Branford
75705-85405,North Branford,North Branford
22995-226726,Bridgeport,Bridgeport
7645-18919,Bristol,Bristol
2962-237666,Colchester,Colchester
7824-2544,Greenwich,Cos Cob
14159-108196,Danbury,Danbury
7288-797,Danbury,Danbury
7484-6526,Danbury,Peach Lake
28576-249788,Danbury,Danbury
22943-210770,Danbury,Danbury
7230-546,Darien,Darien
76958-138444,Putnam,Killingly Center
10948-103486,Derby,Derby
9292-93762,New London,Niantic
19270-137587,New London,Niantic
7883-66420,Longmeadow,Enfield
24144-235965,Longmeadow,Thompsonville
16976-171604,Fairfield,Fairfield
10264-99992,Fairfield,Fairfield
72572-101779,Bridgeport,Bridgeport
7668-7210,Fairfield,Fairfield
11678-225704,Newington,Newington
7616-25549,New Britain,Farmington
28590-249797,New Britain,Farmington
7300-1155,Wethersfield,Glastonbury
4195-138768,Wethersfield,Glastonbury Center
10949-102507,Wethersfield,Glastonbury
7913-89402,Southwick,Salmon Brook
806-1538,Greenwich,Greenwich
829-1539,Greenwich,Greenwich
73758-97513,Groton,Conning Towers-Nautilus Park
72248-29336,Groton,Poquonock Bridge
11782-104678,Groton,Long Hill
2747-89401,Hamden,Hamden
25329-240524,Hartford,Hartford
7306-1044,Hartford,Hartford
75175-76721,Hartford,Hartford
20166-195944,Norwich,Preston City
3857-141555,Norwich,Lisbon
7701-45639,Madison,Madison Center
6999-91101,East Hartford,East Hartford
10500-101168,Vernon,Manchester
29676-254345,East Hartford,Manchester
28221-250111,East Hartford,Manchester
851-1540,East Hartford,Manchester
21689-195069,Storrs,Storrs
29950-223725,Norwich,Preston City
10020-99457,Meriden,Meriden
76547-95715,Milford,Milford
10353-100691,Milford,Milford
9601-97421,Trumbull,Newtown
73725-107088,Norwich,Oxoboxo River
7654-20620,Groton,Mystic
27566-247184,New Britain,New Britain
23934-234364,Newington,Newington
877-1541,Darien,New Canaan
2851-92703,Danbury,Putnam Lake
11903-105685,New Haven,New Haven
7461-6530,New Haven,New Haven
10190-99994,New Milford,New Milford
7751-62419,Newington,Newington
11342-104577,Newington,Kensington
7482-6529,Southbury,Newtown
7752-62421,North Haven,North Haven
76268-90407,North Haven,North Haven
7864-83541,Norwalk,Norwalk
9493-97222,Norwalk,Wilton
23639-218124,Norwalk,Darien
19356-195704,Norwich,Norwich
7986-2241,Old Saybrook,Old Saybrook
7388-1372,Orange,Orange
76307-79814,Orange,Orange
25608-239097,Oxford,Oxford
2850-92920,New Britain,Plainville
7287-1158,Danbury,Ridgefield
815-1542,Stamford,Riverside
7836-81480,Newington,Newington
13783-109047,Seymour,Seymour
9641-97804,Shelton,Shelton
9640-96852,West Hartford,Simsbury Center
7367-799,Southbury,Heritage Village
8645-94463,Bristol,Plainville
76990-137600,Bristol,Plainville
11172-104313,Stamford,Stamford
7366-1264,Stamford,Stamford
7477-1934,Stamford,Stamford
76269-80253,Stamford,Stamford
805-1543,Stamford,North Stamford
14466-113795,Stamford,Old Greenwich
28318-250022,Stamford,Stamford
7863-83540,Storrs,Storrs
9265-96045,Stratford,Stratford
27921-248884,Torrington,Northwest Harwinton
76851-113958,Torrington,Northwest Harwinton
28525-249883,Trumbull,Trumbull
76306-93245,Stratford,Stratford
7252-547,Trumbull,Trumbull
76967-137802,Trumbull,Trumbull
75540-48279,Norwich,Norwich
27448-247649,Vernon,Rockville
27435-247554,Meriden,Wallingford
76705-98089,Waterbury,Waterbury
24865-239185,Waterbury,Waterbury
27538-247115,New London,Central Waterford
7633-20221,Watertown,Watertown
848-1792,West Hartford,West Hartford
853-1791,West Hartford,West Hartford
22967-176905,West Hartford,Blue Hills
7740-60999,West Hartford,West Hartford
73804-101784,West Haven,West Haven
14745-119504,West Haven,West Haven
4196-138149,Fairfield,Southport
7505-247007,Westport,Westport
804-1790,Westport,Westport
8644-93763,Wethersfield,Wethersfield
7580-11036,Norwalk,Wilton
76679-104731,Windsor Locks,Windsor
8646-93508,Woodbridge,Woodbridge
70055-131064,Alexandria,Glassmanor
7676-20500,Washington,"Washington, D.C."
75238-85016,Washington,"Washington, D.C."
7369-1383,Washington,"Washington, D.C."
11036-103474,Washington,"Washington, D.C."
7877-83860,Washington,"Washington, D.C."
13235-105606,Washington,Chevy Chase Village
23852-232305,Arlington,Friendship Village
10229-99170,Washington,"Washington, D.C."
10725-100383,Washington,"Washington, D.C."
723-2014,Bethesda,Brookmont
17827-160146,Washington,"Washington, D.C."
76882-100073,Washington,"Washington, D.C."
10439-100821,Washington,"Washington, D.C."
19851-75281,Washington,"Washington, D.C."
7569-238095,Washington,"Washington, D.C."
22039-214964,Washington,"Washington, D.C."
7759-93448,Washington,"Washington, D.C."
7689-49699,Washington,"Washington, D.C."
7299-184944,Bethesda,Friendship Village
24497-238087,Washington,"Washington, D.C."
7685-38819,Washington,"Washington, D.C."
70302-137284,Arlington,"Washington, D.C."
7765-52560,Washington,"Washington, D.C."
7610-17294,Washington,"Washington, D.C."
7237-703,Washington,"Washington, D.C."
74866-97711,Mount Rainier,Mount Rainier
8076-150985,Washington,"Washington, D.C."
13641-108262,Washington,"Washington, D.C."
79779-121145,Washington,"Washington, D.C."
23466-230290,Washington,"Washington, D.C."
74837-80532,Washington,"Washington, D.C."
7715-40480,Washington,"Washington, D.C."
7760-50439,Washington,"Washington, D.C."
3716-145344,Arlington,Brookmont
16039-167106,Washington,"Washington, D.C."
21159-160244,Bethesda,Friendship Village
75425-107208,Chillum,Chillum
15122-156865,Washington,"Washington, D.C."
7572-13731,Arlington,Brookmont
7815-75280,Washington,"Washington, D.C."
15556-207969,Washington,"Washington, D.C."
7784-66360,Washington,"Washington, D.C."
7845-71781,Washington,"Washington, D.C."
26030-243146,Chillum,Chillum
722-970,Arlington,"Washington, D.C."
719-1122,Washington,"Washington, D.C."
8666-86881,Washington,"Washington, D.C."
75702-94031,Washington,"Washington, D.C."
712-1120,Washington,"Washington, D.C."
7240-704,Washington,"Washington, D.C."
8759-86882,Washington,"Washington, D.C."
7350-780,Arlington,Brookmont
21424-211944,Bethesda,Friendship Village
7865-54021,Washington,"Washington, D.C."
17818-181024,Washington,"Washington, D.C."
2748-88141,Washington,"Washington, D.C."
74153-17931,Silver Spring,Silver Spring
7892-52479,Washington,"Washington, D.C."
7415-1846,Bethesda,Friendship Village
11480-104696,Washington,"Washington, D.C."
74453-17932,Coral Hills,Hillcrest Heights
2749-50420,Washington,"Washington, D.C."
13234-107243,Washington,"Washington, D.C."
702-1112,Washington,"Washington, D.C."
23832-233225,Washington,"Washington, D.C."
20275-204207,Chillum,Chillum
8665-89460,Washington,"Washington, D.C."
735-968,Washington,"Washington, D.C."
9793-98465,Washington,"Washington, D.C."
70004-26515,Washington,"Washington, D.C."
20918-194705,Washington,"Washington, D.C."
716-1121,Washington,"Washington, D.C."
7632-26887,Arlington,"Washington, D.C."
7172-150404,Arlington,"Washington, D.C."
25880-242727,Takoma Park,Takoma Park
726-2027,Washington,"Washington, D.C."
11247-103892,Washington,"Washington, D.C."
715-1119,Bethesda,Chevy Chase Village
7762-62959,Washington,"Washington, D.C."
10898-102107,Washington,"Washington, D.C."
9392-95294,Washington,"Washington, D.C."
49899-271484,Washington,"Washington, D.C."
72453-5260,Washington,"Washington, D.C."
7281-766,Washington,"Washington, D.C."
725-2024,Washington,"Washington, D.C."
11869-105617,Washington,"Washington, D.C."
21772-214865,Washington,"Washington, D.C."
728-239264,Washington,"Washington, D.C."
22797-220545,Alexandria,Alexandria
22473-220544,Alexandria,Alexandria
74239-38379,Dover,Dover
25349-240547,Dover,Dover
25465-241066,Elsmere,Greenville
19208-197884,Pike Creek,North Star
10899-102736,Middletown,Middletown
79396-97468,Georgetown,Ocean View
75735-94538,Brookside,Brookside
2947-92700,Brookside,Glasgow
74565-76061,Brookside,Glasgow
8187-151764,Wilmington Manor,Bear
28585-250251,Wilmington Manor,Bear
18203-186064,Newark,Newark
7789-69284,Newark,Newark
25599-241155,Brookside,Brookside
74731-97006,Georgetown,Rehoboth Beach
14253-117484,Georgetown,Rehoboth Beach
73836-100578,Georgetown,Ocean View
76335-95673,Wilmington,Bellefonte
23270-228345,Wilmington,Wilmington
7591-12893,Elsmere,Newport
7775-57239,Claymont,Bellefonte
24488-231484,Wilmington,Wilmington
48486-263338,Pike Creek,Pike Creek Valley
48666-257226,Wilmington,Wilmington
